Company Name	Symbol
360 ONE WAM Ltd.	360ONE
3M India Ltd.	3MINDIA
ABB India Ltd.	ABB
ACC Ltd.	ACC
ACME Solar Holdings Ltd.	ACMESOLAR
AIA Engineering Ltd.	AIAENG
APL Apollo Tubes Ltd.	APLAPOLLO
AU Small Finance Bank Ltd.	AUBANK
AWL Agri Business Ltd.	AWL
Aadhar Housing Finance Ltd.	AADHARHFC
Aarti Industries Ltd.	AARTIIND
Aavas Financiers Ltd.	AAVAS
Abbott India Ltd.	ABBOTINDIA
Action Construction Equipment Ltd.	ACE
Adani Energy Solutions Ltd.	ADANIENSOL
Adani Enterprises Ltd.	ADANIENT
Adani Green Energy Ltd.	ADANIGREEN
Adani Ports and Special Economic Zone Ltd.	ADANIPORTS
Adani Power Ltd.	ADANIPOWER
Adani Total Gas Ltd.	ATGL
Aditya Birla Capital Ltd.	ABCAPITAL
Aditya Birla Fashion and Retail Ltd.	ABFRL
Aditya Birla Lifestyle Brands Ltd.	ABLBL
Aditya Birla Real Estate Ltd.	ABREL
Aditya Birla Sun Life AMC Ltd.	ABSLAMC
Aegis Logistics Ltd.	AEGISLOG
Aegis Vopak Terminals Ltd.	AEGISVOPAK
Afcons Infrastructure Ltd.	AFCONS
Company Name	Symbol
361 ONE WAM Ltd.	360ONE
3M India Ltd.	3MINDIA
ABB India Ltd.	ABB
ACC Ltd.	ACC
ACME Solar Holdings Ltd.	ACMESOLAR
AIA Engineering Ltd.	AIAENG
APL Apollo Tubes Ltd.	APLAPOLLO
AU Small Finance Bank Ltd.	AUBANK
AWL Agri Business Ltd.	AWL
Aadhar Housing Finance Ltd.	AADHARHFC
Aarti Industries Ltd.	AARTIIND
Aavas Financiers Ltd.	AAVAS
Abbott India Ltd.	ABBOTINDIA
Action Construction Equipment Ltd.	ACE
Adani Energy Solutions Ltd.	ADANIENSOL
Adani Enterprises Ltd.	ADANIENT
Adani Green Energy Ltd.	ADANIGREEN
Adani Ports and Special Economic Zone Ltd.	ADANIPORTS
Adani Power Ltd.	ADANIPOWER
Adani Total Gas Ltd.	ATGL
Aditya Birla Capital Ltd.	ABCAPITAL
Aditya Birla Fashion and Retail Ltd.	ABFRL
Aditya Birla Lifestyle Brands Ltd.	ABLBL
Aditya Birla Real Estate Ltd.	ABREL
Aditya Birla Sun Life AMC Ltd.	ABSLAMC
Aegis Logistics Ltd.	AEGISLOG
Aegis Vopak Terminals Ltd.	AEGISVOPAK
Afcons Infrastructure Ltd.	AFCONS
Company Name	Symbol
362 ONE WAM Ltd.	360ONE
3M India Ltd.	3MINDIA
ABB India Ltd.	ABB
ACC Ltd.	ACC
ACME Solar Holdings Ltd.	ACMESOLAR
AIA Engineering Ltd.	AIAENG
APL Apollo Tubes Ltd.	APLAPOLLO
AU Small Finance Bank Ltd.	AUBANK
AWL Agri Business Ltd.	AWL
Aadhar Housing Finance Ltd.	AADHARHFC
Aarti Industries Ltd.	AARTIIND
Aavas Financiers Ltd.	AAVAS
Abbott India Ltd.	ABBOTINDIA
Action Construction Equipment Ltd.	ACE
Adani Energy Solutions Ltd.	ADANIENSOL
Adani Enterprises Ltd.	ADANIENT
Adani Green Energy Ltd.	ADANIGREEN
Adani Ports and Special Economic Zone Ltd.	ADANIPORTS
Adani Power Ltd.	ADANIPOWER
Adani Total Gas Ltd.	ATGL
Aditya Birla Capital Ltd.	ABCAPITAL
Aditya Birla Fashion and Retail Ltd.	ABFRL
Aditya Birla Lifestyle Brands Ltd.	ABLBL
Aditya Birla Real Estate Ltd.	ABREL
Aditya Birla Sun Life AMC Ltd.	ABSLAMC
Aegis Logistics Ltd.	AEGISLOG
Aegis Vopak Terminals Ltd.	AEGISVOPAK
Afcons Infrastructure Ltd.	AFCONS
Company Name	Symbol
363 ONE WAM Ltd.	360ONE
3M India Ltd.	3MINDIA
ABB India Ltd.	ABB
ACC Ltd.	ACC
ACME Solar Holdings Ltd.	ACMESOLAR
AIA Engineering Ltd.	AIAENG
APL Apollo Tubes Ltd.	APLAPOLLO
AU Small Finance Bank Ltd.	AUBANK
AWL Agri Business Ltd.	AWL
Aadhar Housing Finance Ltd.	AADHARHFC
Aarti Industries Ltd.	AARTIIND
Aavas Financiers Ltd.	AAVAS
Abbott India Ltd.	ABBOTINDIA
Action Construction Equipment Ltd.	ACE
Adani Energy Solutions Ltd.	ADANIENSOL
Adani Enterprises Ltd.	ADANIENT
Adani Green Energy Ltd.	ADANIGREEN
Adani Ports and Special Economic Zone Ltd.	ADANIPORTS
Adani Power Ltd.	ADANIPOWER
Adani Total Gas Ltd.	ATGL
Aditya Birla Capital Ltd.	ABCAPITAL
Aditya Birla Fashion and Retail Ltd.	ABFRL
Aditya Birla Lifestyle Brands Ltd.	ABLBL
Aditya Birla Real Estate Ltd.	ABREL
Aditya Birla Sun Life AMC Ltd.	ABSLAMC
Aegis Logistics Ltd.	AEGISLOG
Aegis Vopak Terminals Ltd.	AEGISVOPAK
Afcons Infrastructure Ltd.	AFCONS
Company Name	Symbol
364 ONE WAM Ltd.	360ONE
3M India Ltd.	3MINDIA
ABB India Ltd.	ABB
ACC Ltd.	ACC
ACME Solar Holdings Ltd.	ACMESOLAR
AIA Engineering Ltd.	AIAENG
APL Apollo Tubes Ltd.	APLAPOLLO
AU Small Finance Bank Ltd.	AUBANK
AWL Agri Business Ltd.	AWL
Aadhar Housing Finance Ltd.	AADHARHFC
Aarti Industries Ltd.	AARTIIND
Aavas Financiers Ltd.	AAVAS
Abbott India Ltd.	ABBOTINDIA
Action Construction Equipment Ltd.	ACE
Adani Energy Solutions Ltd.	ADANIENSOL
Adani Enterprises Ltd.	ADANIENT
Adani Green Energy Ltd.	ADANIGREEN
Adani Ports and Special Economic Zone Ltd.	ADANIPORTS
Adani Power Ltd.	ADANIPOWER
Adani Total Gas Ltd.	ATGL
Aditya Birla Capital Ltd.	ABCAPITAL
Aditya Birla Fashion and Retail Ltd.	ABFRL
Aditya Birla Lifestyle Brands Ltd.	ABLBL
Aditya Birla Real Estate Ltd.	ABREL
Aditya Birla Sun Life AMC Ltd.	ABSLAMC
Aegis Logistics Ltd.	AEGISLOG
Aegis Vopak Terminals Ltd.	AEGISVOPAK
Afcons Infrastructure Ltd.	AFCONS
Company Name	Symbol
365 ONE WAM Ltd.	360ONE
3M India Ltd.	3MINDIA
ABB India Ltd.	ABB
ACC Ltd.	ACC
ACME Solar Holdings Ltd.	ACMESOLAR
AIA Engineering Ltd.	AIAENG
APL Apollo Tubes Ltd.	APLAPOLLO
AU Small Finance Bank Ltd.	AUBANK
AWL Agri Business Ltd.	AWL
Aadhar Housing Finance Ltd.	AADHARHFC
Aarti Industries Ltd.	AARTIIND
Aavas Financiers Ltd.	AAVAS
Abbott India Ltd.	ABBOTINDIA
Action Construction Equipment Ltd.	ACE
Adani Energy Solutions Ltd.	ADANIENSOL
Adani Enterprises Ltd.	ADANIENT
Adani Green Energy Ltd.	ADANIGREEN
Adani Ports and Special Economic Zone Ltd.	ADANIPORTS
Adani Power Ltd.	ADANIPOWER
Adani Total Gas Ltd.	ATGL
Aditya Birla Capital Ltd.	ABCAPITAL
Aditya Birla Fashion and Retail Ltd.	ABFRL
Aditya Birla Lifestyle Brands Ltd.	ABLBL
Aditya Birla Real Estate Ltd.	ABREL
Aditya Birla Sun Life AMC Ltd.	ABSLAMC
Aegis Logistics Ltd.	AEGISLOG
Aegis Vopak Terminals Ltd.	AEGISVOPAK
Afcons Infrastructure Ltd.	AFCONS
Company Name	Symbol
366 ONE WAM Ltd.	360ONE
3M India Ltd.	3MINDIA
ABB India Ltd.	ABB
ACC Ltd.	ACC
ACME Solar Holdings Ltd.	ACMESOLAR
AIA Engineering Ltd.	AIAENG
APL Apollo Tubes Ltd.	APLAPOLLO
AU Small Finance Bank Ltd.	AUBANK
AWL Agri Business Ltd.	AWL
